2025-04-14 16:17:58.386 | info | renderer | init app | feature toggles {"me_fc_multiple_windows":true,"me_fc_message_actions":true,"me_sticker_packs":{"helloKeywordPack":[],"helloStickersPack":[]},"me_community_messages_enabled":false,"me_message_selecting":true,"me_channels":{"version":5328},"me_channels_ws":false,"vkm_profile_info_screen_name":false,"vkm_hide_forward_author":false,"vkm_composer_formatting":true,"vkm_reactions":15,"vkm_widget_attaches":false,"vkm_prds":false,"vkm_marusia_chat":false,"vkm_marusia_group_chat":false,"vkm_marusia_main_chat":false,"vkm_stats_config":{"sendingAmount":1000,"perfSendingProbability":0.1},"vkm_new_chunk_parser":true,"vkm_convo_antispam_card":false,"vkm_channels_postponed":true,"vkm_postponed_messages":false,"vkm_settings_experimental":false,"vkm_count_group_dialog_setting":false,"vkm_convo_forbid_writing_all":true,"vkm_message_preview_on_hover":false,"vkm_settings_hide_suggested":false,"vkm_channels_forward_as_text":true,"vkm_channels_short_polling":15,"vkm_channels_search":true,"vkm_bubble_theme_default_value":1,"vkm_recommended_folders":true,"vkm_business_folder":false,"vkm_managed_groups_folder":false,"vkm_personal_folder":false,"vkm_new_notifications_display":false,"vkm_unread_folder":false,"vkm_sublists_in_folder":true,"vkm_avatar_area_selector":false,"vkm_upload_v2_voice":true,"vkm_resync_glph_replacement":{"conversationLimit":200},"vkm_im_queue_manager":false,"vkm_history_warm_up":false,"vkm_missing_data_rework":false,"vkm_members_search_pagination":false,"vkm_send_private_message_link":false,"vkm_new_remove_empty_forwards":true,"vkm_edu_achievements":true,"vkm_channel_can_message":true,"vkm_add_phone_in_chat_creation":false,"vkm_stickers_popup":true,"vkm_change_edu_profile_data":true,"vkm_call_join_account_switch":true,"vkm_sw_notification_click":false,"vkm_internal_sferum_links":true,"vkm_channels_members":false,"vkm_chat_list_collapse":true,"vkm_channel_account_switch":true,"vkm_media_share":false,"vkm_promo_auto_open":false,"vkm_edu_enable_bday_in_convo":true,"vkm_edu_precreated_convos":false,"vkm_sferum_banner_channels":true,"vkm_edu_integration_banner":true,"vkm_mobile_app_banner":false,"vkm_delete_chat":true,"vkm_edu_new_call_preview":true,"vkm_birthday_banner_edu":true,"vkm_birthday_sticker_pack":[92727,92729,76116,79194,79179,58273,77711,75293,76475],"vkm_photo_save_to_album":false,"vkm_media_viewer_report":false,"vkm_convo_posts_stats_collect":false,"vkm_gifs_autoplay":false,"vkm_edu_message_request":true,"vkm_reactions_sync_time":3600000,"vkm_group_mention_acc_switch":true,"vkm_edu_chatmembers_sort":true,"vkm_edu_peers_role_search":true,"vkm_enable_schedule_edu":false,"vas_gifts_random_pack":false,"vkm_contacts_search_edu":{"searchCount":50},"vkm_channels_new_post_delete":false,"vkm_pinned_channels":true,"vkm_sferum_param_removal":false,"vkm_edu_account_org_info":true,"vkm_edu_org_navigation":true,"vkm_compact_mode_button_switch":true,"vkm_channel_name_to_community":true,"vkm_edu_profile_org_info":true,"vkm_channel_empty_state_banner":true,"vkm_channel_creation_show":false,"vkm_new_forward":false,"vkm_channel_composer_ban_info":false,"vkm_channel_black_list":false,"vkm_edu_help_miniapp":false,"vkm_conditional_peer_update":true,"vkm_channel_folder_edit_off":true,"vkm_settings_privacy":true,"vkm_lang_setting":false,"vkm_mark_read_without_throttle":false,"vkm_edu_share_convogroup":true,"vkm_use_event_hub_test_url":false,"vkm_chat_restore":false,"vkm_edu_precreated_convos_new":true,"vkm_channels_comments_attaches":false,"vkm_channels_comments_stickers":false,"vkm_channels_folder_disabled":false,"vas_popup_sticker_gradient_fix":true,"vkm_fc_message_actions":true,"vkm_message_selecting":true,"vkm_channels":{"version":5328},"vkm_calls_history":true,"vkm_channels_sferum_url":true,"vkm_profile_channels":true,"vkm_channel_post_editting":true,"vkm_create_channel":true,"vkm_desktop_win10_update_url":true,"vkm_multi_langs":true,"me_composer_formatting":true,"me_reactions":15,"me_new_chunk_parser":true,"me_channels_postponed":true,"me_convo_forbid_writing_all":true,"me_channels_forward_as_text":true,"me_channels_short_polling":15,"me_channels_search":true,"me_bubble_theme_default_value":1,"me_recommended_folders":true,"me_sublists_in_folder":true,"me_upload_v2_voice":true,"me_resync_glph_replacement":{"conversationLimit":200},"me_new_remove_empty_forwards":true,"me_edu_achievements":true,"me_channel_can_message":true,"me_stickers_popup":true,"me_change_edu_profile_data":true,"me_call_join_account_switch":true,"me_internal_sferum_links":true,"me_chat_list_collapse":true,"me_channel_account_switch":true,"me_edu_enable_bday_in_convo":true,"me_sferum_banner_channels":true,"me_edu_integration_banner":true,"me_delete_chat":true,"me_edu_new_call_preview":true,"me_birthday_banner_edu":true,"me_birthday_sticker_pack":[92727,92729,76116,79194,79179,58273,77711,75293,76475],"me_edu_message_request":true,"me_reactions_sync_time":3600000,"me_group_mention_acc_switch":true,"me_edu_chatmembers_sort":true,"me_edu_peers_role_search":true,"me_contacts_search_edu":{"searchCount":50},"me_pinned_channels":true,"me_edu_account_org_info":true,"me_edu_org_navigation":true,"me_compact_mode_button_switch":true,"me_channel_name_to_community":true,"me_edu_profile_org_info":true,"me_channel_empty_state_banner":true,"me_conditional_peer_update":true,"me_channel_folder_edit_off":true,"me_settings_privacy":true,"me_edu_share_convogroup":true,"me_edu_precreated_convos_new":true,"me_calls_history":true,"me_channels_sferum_url":true,"me_profile_channels":true,"me_channel_post_editting":true,"me_create_channel":true,"me_desktop_win10_update_url":true,"me_multi_langs":true}
2025-04-14 16:17:58.793 | info | preload | autoupdater | Main UPDATER_CHECK_FOR_UPDATE
2025-04-14 16:17:58.797 | info | renderer | init app | Init messenger render finished
2025-04-14 16:17:58.853 | info | main | autoupdater | onUpdateNotAvailableHandler No updates
2025-04-14 16:17:59.134 | info | main | credentials store | getCurrentUserId > userId 791587239
2025-04-14 16:17:59.193 | info | main | credentials store | getProfileType > profileType 2
2025-04-14 16:18:58.207 | warn | main | security restrictions |  requested permission for 'geolocation', but was rejected.
2025-04-17 19:31:41.579 | info | main | update or create desktop entry | started
2025-04-17 19:31:41.589 | info | main | update or create desktop entry | desktop entry created successful
2025-04-17 19:31:41.599 | info | main | update or create desktop entry | file icon updated
2025-04-17 19:31:41.599 | info | main | init app | App started
2025-04-17 19:31:41.599 | info | main | init app | version=6.0.52; build=327; OS=linux; 6.14.2-arch1-1; x64; reforged=^0.0.530; calls=^2.2.1
2025-04-17 19:31:43.069 | info | main | autoupdater | Current updater url is  https://upload.object2.vk-apps.com/vk-me-desktop-dev-5837a06d-5f28-484a-ac22-045903cb1b1a/latest/
2025-04-17 19:31:43.071 | info | main | autoupdater | setUpdateUrlIpcHandler Registerred
2025-04-17 19:31:43.072 | info | main | autoupdater | cancelDownloadIpcHandler Registerred
2025-04-17 19:31:43.072 | info | main | autoupdater | downloadUpdateIpcHandler Registerred
2025-04-17 19:31:43.073 | info | main | autoupdater | installUpdateIpcHandler Registerred
2025-04-17 19:31:43.073 | info | main | autoupdater | toggleAutomaticDownloadIpcHandler Registerred
2025-04-17 19:31:43.074 | info | main | autoupdater | toggleAutomaticDownloadIpcHandler Registerred
2025-04-17 19:31:43.074 | info | main | autoupdater | UPDATER_CHECK_FOR_UPDATE Registerred
2025-04-17 19:31:43.074 | info | main | autoupdater | AutoUpdater initialised
2025-04-17 19:31:44.154 | warn | main | security restrictions |  requested permission for 'geolocation', but was rejected.
2025-04-17 19:31:44.879 | info | main | credentials store | getCurrentUserId > userId 791587239
2025-04-17 19:31:44.920 | info | main | credentials store | getProfileType > profileType 2
2025-04-17 19:31:45.024 | info | main | credentials store | getCurrentUserId > userId 791587239
2025-04-17 19:31:45.063 | info | main | credentials store | getProfileType > profileType 2
