00:00:10.986118 DCon05   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:00:10.993031 DCon01   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:00:10.997247 DCon01   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:00:11.001499 DCon01   HostDnsMonitorProxy::GetDomainName: no domain set
00:00:11.001838 DCon01   HostDnsMonitorProxy::GetNameServers:
00:00:11.001847 DCon01     name server 1: 192.168.0.1
00:00:11.001850 DCon01     name server 2: fe80::1%wlo1
00:00:11.002083 DCon01   HostDnsMonitorProxy::GetSearchStrings:
00:00:11.002088 DCon01     no search string entries
00:00:11.060688 DCon07   ERROR [COM]: aRC=NS_ERROR_FAILURE (0x80004005) aIID={bea3ef5c-de2f-4b74-aa3a-15d6249371a0} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:00:11.130799 DCon11   Saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml" with version "1.12-linux"
00:00:11.141083 DCon11   Finished saving settings file "/home/zokz/.config/VirtualBox/VirtualBox.xml"
00:00:11.168792 DCon03   Saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox" with version "1.19-linux"
00:00:11.187227 DCon03   Finished saving settings file "/home/zokz/VirtualBox VMs/Win/Win.vbox"
00:00:11.251390 DCon04   ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
